                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.0191,                 1.6194,                 1.1195,                 1.2442,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00084988,             0.00084988,             0.00084988
                    100,                 1.0842,                 1.8349,                 1.1226,                 1.2974,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00084575,             0.00084575,             0.00084575
                    101,                 1.0961,                  1.805,                 1.1975,                 1.2996,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00084162,             0.00084162,             0.00084162
                    102,                 1.0207,                 1.5995,                 1.1339,                 1.2389,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0008375,              0.0008375,              0.0008375
                    103,                0.98817,                 1.6556,                 1.1267,                 1.2028,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00083337,             0.00083337,             0.00083337
                    104,                 1.0448,                 1.8393,                 1.1201,                 1.2613,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00082925,             0.00082925,             0.00082925
                    105,                 1.0017,                 1.7058,                 1.0635,                 1.2461,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00082513,             0.00082513,             0.00082513
                    106,                 1.0208,                 1.6302,                 1.0447,                 1.2373,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000821,               0.000821,               0.000821
                    107,                 1.1673,                 2.0448,                 1.2171,                 1.3394,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00081688,             0.00081688,             0.00081688
                    108,                 1.0915,                 1.9243,                 1.1318,                 1.2734,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00081275,             0.00081275,             0.00081275
                    109,                  1.113,                  1.807,                 1.1934,                  1.272,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00080863,             0.00080863,             0.00080863
                    110,                 1.1474,                  1.811,                 1.3194,                 1.2852,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0008045,              0.0008045,              0.0008045
                    111,                 1.0961,                 1.7861,                 1.1297,                 1.2516,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00080038,             0.00080038,             0.00080038
                    112,                 1.0949,                 1.7138,                  1.111,                  1.269,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00079625,             0.00079625,             0.00079625
                    113,                 1.0662,                 1.8096,                 1.0994,                 1.2665,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00079213,             0.00079213,             0.00079213
                    114,                 1.0655,                 1.7152,                 1.1597,                 1.2739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000788,               0.000788,               0.000788
                    115,                 1.1085,                  1.885,                  1.185,                 1.3219,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00078387,             0.00078387,             0.00078387
                    116,                 1.0913,                 1.7023,                 1.1374,                 1.2688,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00077975,             0.00077975,             0.00077975
                    117,                 1.0714,                 1.7545,                 1.0955,                 1.3218,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00077563,             0.00077563,             0.00077563
                    118,                 1.0449,                 1.5751,                 1.0972,                 1.2581,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0007715,              0.0007715,              0.0007715
                    119,                0.93646,                 1.4784,                0.99898,                 1.1974,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00076738,             0.00076738,             0.00076738
                    120,                 1.0623,                  1.648,                 1.0852,                 1.2746,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00076325,             0.00076325,             0.00076325
                    121,                0.99296,                 1.6083,                  1.037,                 1.2182,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00075912,             0.00075912,             0.00075912
